video_id,title,published_at,view_count,like_count,category_id,is_music,member_id,member_name,generation,unit
NgaWXrxvyj8,에휴 그냥 죽어야겠다... #cartoon #comic #vtuber #shorts,2025-11-08,1019666,23159,10,True,shirayuki_hina,시라유키 히나,2,Universe
1BX2KQ5GfTU,누구 머리가 더 클까 #cartoon #comic #vtuber #shorts,2025-11-07,265832,7914,10,True,shirayuki_hina,시라유키 히나,2,Universe
9JZ9iKYHTpI,스텔라이브 멤버 레전드 성대모사 #vtuber #shorts,2025-11-06,451426,20660,10,True,shirayuki_hina,시라유키 히나,2,Universe
fWaY2yL4JTc,"포켓몬 ZA '그' 메가 아쿠스타 반응,,, #vtuber #shorts",2025-11-05,116997,3234,10,True,shirayuki_hina,시라유키 히나,2,Universe
P2oxClbG4X4,히나의 PPPP 예뻐예뻐? #pppp #meme #comic #vtuber #shorts,2025-11-04,1100281,24211,10,True,shirayuki_hina,시라유키 히나,2,Universe
VpTKHX12aZE,[4K] 금요일의 아침인사(金曜日のおはよう)ㅣ시라유키 히나(Shirayuki Hina) Live Clip,2025-11-03,255711,4985,10,True,shirayuki_hina,시라유키 히나,2,Universe
gz6R845UUNk,"💘체인소맨: 레제편 OST💘 | JANE DOE (Kenshi Yonezu, Hikaru Utada) #cover #vtuber #shorts",2025-10-28,86387,4533,10,True,shirayuki_hina,시라유키 히나,2,Universe
EIii4EXsfsU,"JANE DOE (Kenshi Yonezu, Hikaru Utada) | 시라유키 히나 x 아오쿠모 린 Cover",2025-10-27,1408261,22752,10,True,shirayuki_hina,시라유키 히나,2,Universe
_sY6HptFKaA,강지는 너무 차갑다... #cartoon #comic #vtuber #shorts,2025-10-17,370285,10169,10,True,shirayuki_hina,시라유키 히나,2,Universe
r9beTs4ByNM,이런 나라서 미안해... #cartoon #comic #vtuber #shorts,2025-10-04,208354,7090,10,True,shirayuki_hina,시라유키 히나,2,Universe
Am36NHSuCWQ,사랑해줘 사랑해줘 사랑해줘 (愛して愛して愛して) | 시라유키 히나 Cover,2025-09-28,748822,14074,10,True,shirayuki_hina,시라유키 히나,2,Universe
1WLy2O79aeM,해둥아 나 좀 도와줘!!!!😑 #だれかぬいてくれ #meme #comic #vtuber #shorts,2025-09-26,1165965,26094,10,True,shirayuki_hina,시라유키 히나,2,Universe
2477fJy2mBc,동그라미를 따라 손가락을 움직여 보세요! #meme #comic #vtuber #shorts,2025-09-23,624581,11836,10,True,shirayuki_hina,시라유키 히나,2,Universe
IPoQLdiniQ4,벌목장은 벌을 키우는 목장 #cartoon #comic #vtuber #shorts,2025-09-22,296539,6296,10,True,shirayuki_hina,시라유키 히나,2,Universe
ukKzRABYeTE,악마의 아이 (悪魔の子) / Attack on Titan Final Season Part 2 ED 진격의 거인 4기 2쿨 ED #akumanoko #vtuber #shorts,2025-09-19,46525,2813,10,True,shirayuki_hina,시라유키 히나,2,Universe
B5tz8rOMPlU,악마의 아이 (悪魔の子) | 시라유키 히나 Cover,2025-09-18,1174066,14774,10,True,shirayuki_hina,시라유키 히나,2,Universe
m0Db3CAxzsE,YOASOBI - 군청(群青) | 시라유키 히나 Cover,2025-08-27,736020,11510,10,True,shirayuki_hina,시라유키 히나,2,Universe
WKY-KFCvm-A,Summertime (cinnamons × evening cinema) | 시라유키 히나(Shirayuki Hina) x 하나코 나나(Hanako Nana) Cover,2025-07-30,1205679,15213,10,True,shirayuki_hina,시라유키 히나,2,Universe
fAgAE9JmnOs,LADY - KenshiYonezu(米津玄師) | 시라유키 히나 Cover,2025-06-30,1328040,13693,10,True,shirayuki_hina,시라유키 히나,2,Universe
xLMq8mhxeOM,스텔라이브가 다함께 목욕탕에 갔는데...? #cartoon #comic #vtuber #shorts,2025-06-13,467704,11973,10,True,shirayuki_hina,시라유키 히나,2,Universe
WXVKnntJSrY,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🌙 | 여름밤, 감성을 자극하는 시라유키 히나 노래 [Part.1🎧]",2025-06-10,1009252,20517,10,True,shirayuki_hina,시라유키 히나,2,Universe
YVplo9mgtcs,Lonely Universe(ロンリーユニバース) | 시라유키 히나(Shirayuki Hina) x 아오쿠모 린(Aokumo Rin) Cover,2025-05-23,784521,11759,10,True,shirayuki_hina,시라유키 히나,2,Universe
lphHTvCE1Fw,스텔라이브 2기생의 신의상 바꿔 입기✨ #meme #comic #vtuber #shorts,2025-05-02,317096,9935,10,True,shirayuki_hina,시라유키 히나,2,Universe
Vnq2gVX-T1U,히나와 함께하는 봄빛 데이트🌸 #히나 #스텔라이브 #봄빛데이트 #vtuber,2025-05-02,73827,3518,10,True,shirayuki_hina,시라유키 히나,2,Universe
9fLWZtdoEYs,호날두 드리블 아닙니다. #金曜日のおはよう #vtuber #shorts,2025-04-29,575314,13947,10,True,shirayuki_hina,시라유키 히나,2,Universe
DzSb5b8ehdg,「Orange(オレンジ) / 4월은 너의 거짓말 ED」| 시라유키 히나 Cover,2025-04-27,1442695,15383,10,True,shirayuki_hina,시라유키 히나,2,Universe
00pp5w9_Cr0,시라유키 히나 - 꿈의 신호(Dream Signal)💭 Official Video,2025-04-23,280872,7240,10,True,shirayuki_hina,시라유키 히나,2,Universe
dXbCNM8nLR8,[4K] 하나(夏拏)ㅣ시라유키 히나(Shirayuki Hina) Live Clip,2025-04-21,134187,2815,10,True,shirayuki_hina,시라유키 히나,2,Universe
L1haw5kPB7Q,만찬가『晩餐歌』 | 시라유키 히나 Cover,2025-01-05,2265606,21023,10,True,shirayuki_hina,시라유키 히나,2,Universe
DMk4_4Xytz4,✧Alice in Musicland✧ | StelLive Cover,2024-11-24,1811817,30356,10,True,shirayuki_hina,시라유키 히나,2,Universe
9hLbsRU2neM,하루카「ハルカ」 | 시라유키 히나 Cover,2024-11-16,901638,8873,10,True,shirayuki_hina,시라유키 히나,2,Universe
D938bjFYmII,새벽과 반딧불이(夜明けと蛍) | 시라유키 히나 Cover,2024-10-26,1641242,13809,10,True,shirayuki_hina,시라유키 히나,2,Universe
mBwkHGVa8-4,🎀Shirayuki Hina | ‘하나(夏拏)’🎀 #vtuber #shorts #song,2024-09-12,68656,5847,10,True,shirayuki_hina,시라유키 히나,2,Universe
rQaluJS-Tc0,시라유키 히나(Shirayuki Hina) | ‘하나(夏拏)’,2024-09-11,893005,16751,10,True,shirayuki_hina,시라유키 히나,2,Universe
Ril-PFHlfoM,난... 왜 이렇게 머리가 좋은 거야!!,2024-07-15,56879,1620,10,True,shirayuki_hina,시라유키 히나,2,Universe
LyztonsxiN8,스텔라이브 포켓몬 최강자(8층 컷),2024-07-13,165930,2874,10,True,shirayuki_hina,시라유키 히나,2,Universe
uS-yCabcyZ0,극한 직업 스텔라이브 매니저,2024-07-10,320209,5695,10,True,shirayuki_hina,시라유키 히나,2,Universe
WW3RO6wn1Tk,1년차 아이돌의 첫 눈물,2024-07-09,125976,3421,10,True,shirayuki_hina,시라유키 히나,2,Universe
x6qjBIkzqbk,나나 님 저 영어 잘하죠?,2024-07-07,111908,2507,10,True,shirayuki_hina,시라유키 히나,2,Universe
L30es4bG2bU,히나는 INFP야! #vtuber #shorts,2024-07-01,142551,8572,10,True,shirayuki_hina,시라유키 히나,2,Universe
q5KxUIeTI9k,갱생한 마크아줌마,2024-06-30,368879,4742,10,True,shirayuki_hina,시라유키 히나,2,Universe
RGrSmTKmBA4,I Really Want to Stay At Your House (Arrange ver.) | 시라유키 히나 Cover,2024-06-29,3949053,40832,10,True,shirayuki_hina,시라유키 히나,2,Universe
VhBXWT6Oqto,17살의 노래(17さいのうた。) / 시라유키 히나 Cover,2024-06-10,2298321,15681,10,True,shirayuki_hina,시라유키 히나,2,Universe
Tmjy9uLbMFc,봄을 기다리다(春を待つ) / 시라유키 히나 Cover,2024-05-10,1832643,11559,10,True,shirayuki_hina,시라유키 히나,2,Universe
xRkZVxvk55U,"Sweet Dreams, My Dear(Lost Ark) / 시라유키 히나 Cover",2024-03-15,2489759,16595,10,True,shirayuki_hina,시라유키 히나,2,Universe
VELEqvE1jF8,히나의 리즈시절2 #vtuber #shorts,2024-02-12,1646296,81900,10,True,shirayuki_hina,시라유키 히나,2,Universe
_-uHa5KiR90,피날레(フィナーレ。) / 시라유키 히나 Cover,2024-02-11,4327019,28616,10,True,shirayuki_hina,시라유키 히나,2,Universe
U9gGhoJNppY,최악의 급식 메뉴 고르기,2025-06-11,72258,2205,10,True,neneko_mashiro,네네코 마시로,2,Universe
bW_htBZ_emA,병명 상사병(病名恋ワズライ)ㅣ네네코 마시로 Cover,2025-06-10,410428,6151,10,True,neneko_mashiro,네네코 마시로,2,Universe
NFsrT3A8lB4,이상한 누나가 있는 수영장,2024-11-16,77621,2686,10,True,neneko_mashiro,네네코 마시로,2,Universe
bpjpKwx4w7Y,이븐 하게 잘 익은 야끼 시로 #shorts #네네코마시로 #스텔라이브,2024-11-14,52597,3262,10,True,neneko_mashiro,네네코 마시로,2,Universe
itlQUFU8vYE,헛다리 짚기 에헷⭐️,2024-11-12,90723,2577,10,True,neneko_mashiro,네네코 마시로,2,Universe
QhxBeWXguBk,마리오 너무 어려우우ㅜㅠ,2024-11-11,54619,1886,10,True,neneko_mashiro,네네코 마시로,2,Universe
3jMeKVurGFg,"치료가 필요할 정도의 심각한 ""가챠중독"" 입니다.",2024-11-02,47638,1560,10,True,neneko_mashiro,네네코 마시로,2,Universe
uGKs81f_uhs,레전드 부실공사 ㅋㅋㅋㅋㅋㅋㅋ,2024-10-30,184114,3737,10,True,neneko_mashiro,네네코 마시로,2,Universe
OuoJY41FSCA,시로가 생각하는 마로 #shorts #네네코마시로 #스텔라이브,2024-10-29,51887,2840,10,True,neneko_mashiro,네네코 마시로,2,Universe
31yyKBR5QQE,멤버들이 불러주는 '봄꿈',2024-10-28,90127,2865,10,True,neneko_mashiro,네네코 마시로,2,Universe
9KWzavS1o4U,그녀의 선택은..!?,2024-10-26,35303,1447,10,True,neneko_mashiro,네네코 마시로,2,Universe
3z5qAsf-c08,☁️ 자기전에 듣기 좋은 마시로의 𝐌𝐈𝐍𝐆𝐏𝐋𝐀𝐘𝐋𝐈𝐒𝐓 ☁️,2024-10-25,741979,14806,10,True,neneko_mashiro,네네코 마시로,2,Universe
QYcrC7icyNk,매일 밤 아이들이 사라지는 수상한 집,2024-10-23,65604,1803,10,True,neneko_mashiro,네네코 마시로,2,Universe
kRItTNmSDOg,몬스터가 쓰러지지 않아 #네네코마시로 #스텔라이브 #shorts,2024-10-22,59804,3099,10,True,neneko_mashiro,네네코 마시로,2,Universe
PpH8lk1PdNs,뽀뽀하고 시작할까요..? ❤️,2024-10-21,47913,1855,10,True,neneko_mashiro,네네코 마시로,2,Universe
rKQrjt642qc,그냥 때려쳐 아이작!! #네네코마시로 #스텔라이브 #shorts,2024-10-20,54771,3079,10,True,neneko_mashiro,네네코 마시로,2,Universe
Xq3_VTZ49Lw,때지 교미,2024-10-19,37943,1602,10,True,neneko_mashiro,네네코 마시로,2,Universe
y798J8qj_rw,동물원에 갔는데...,2024-10-17,69640,2103,10,True,neneko_mashiro,네네코 마시로,2,Universe
h_J3oSdIVu0,봄꿈 _ Neneko mashiro #마시로 #네네코마시로 #스텔라이브 #vtuber  #왈츠,2024-10-17,66834,6538,10,True,neneko_mashiro,네네코 마시로,2,Universe
_8uoathMY0A,네네코 마시로(Neneko Mashiro) | ‘봄꿈’,2024-10-16,1221959,23381,10,True,neneko_mashiro,네네코 마시로,2,Universe
xXUA_kSAp0A,네네코 마시로(Neneko Mashiro) | ‘봄꿈’ Teaser,2024-10-15,101658,2842,10,True,neneko_mashiro,네네코 마시로,2,Universe
Kg9roXCHimQ,개막장 일처다부제 교미녀 [ 심즈4 ],2024-08-21,42721,1787,10,True,neneko_mashiro,네네코 마시로,2,Universe
56lQtisa_j8,냥아치가 돈 뜯는 현장 [ 멋봉리 핫클립 ],2024-08-19,63444,2113,10,True,neneko_mashiro,네네코 마시로,2,Universe
R54GOhMzZks,교미!!!! #마시로 #vtuber #스텔라이브 #심즈4,2024-08-19,114621,4853,10,True,neneko_mashiro,네네코 마시로,2,Universe
72Dy-OxlQUI,애벌레 자랑하기 [ 멋봉리 ],2024-08-14,62516,2007,10,True,neneko_mashiro,네네코 마시로,2,Universe
CAvNZSYNqWM,나는 강지다. [ 멋봉리 ],2024-08-12,60125,1915,10,True,neneko_mashiro,네네코 마시로,2,Universe
