video_no,title,date,duration_min,category,view_count,member_id,member_name,generation,unit,collab_members,is_collab
9902634,아오쿠모 통,2025-10-25,420.3,마인크래프트,9717,aokumo_rin,아오쿠모 린,3,Cliché,,False
9885355,린나나 후열 이리!,2025-10-24,303.9,talk,2700,aokumo_rin,아오쿠모 린,3,Cliché,hanako_nana,True
9852714,목 띵띵띵띵 ,2025-10-22,264.4,포켓몬 레전드 Z-A,2729,aokumo_rin,아오쿠모 린,3,Cliché,,False
9835065,목 띵띵,2025-10-20,171.2,포켓몬 레전드 Z-A,2108,aokumo_rin,아오쿠모 린,3,Cliché,,False
9820200,클리셰 졸트!! / 아이리스 아웃 많관부,2025-10-19,263.5,졸트,5481,aokumo_rin,아오쿠모 린,3,Cliché,,False
9785686,포켓몬 찍먹,2025-10-17,272.0,포켓몬 레전드 Z-A,4431,aokumo_rin,아오쿠모 린,3,Cliché,,False
9741120,"꿈은 이루어진다 w. 유니, 후야",2025-10-15,271.4,이터널 리턴,5602,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,sakihane_huya",True
9725317,꼴등만 아니면 돼,2025-10-14,245.8,마인크래프트,4566,aokumo_rin,아오쿠모 린,3,Cliché,,False
9711174,거대 두더지 실존,2025-10-13,284.2,마인크래프트,8465,aokumo_rin,아오쿠모 린,3,Cliché,,False
9654355,네모놀이해요,2025-10-09,247.6,마인크래프트,6136,aokumo_rin,아오쿠모 린,3,Cliché,,False
9636727,힐링 농사 힐링 요리 힐링 가챠,2025-10-08,164.0,마인크래프트,3353,aokumo_rin,아오쿠모 린,3,Cliché,,False
9623119,농사해 요리해 돈벌어,2025-10-07,262.6,마인크래프트,5125,aokumo_rin,아오쿠모 린,3,Cliché,,False
9610965,해피 추석!! / 7시 동숲 마을 여행,2025-10-07,380.9,모여봐요 동물의 숲,2540,aokumo_rin,아오쿠모 린,3,Cliché,,False
9596533,"7시 데바데 w. 싸장님,유니선배,부키,리코",2025-10-05,293.7,데드 바이 데이라이트,2474,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,yuzuha_riko",True
9535590,집들이 선물 사용~,2025-10-02,160.7,모여봐요 동물의 숲,2379,aokumo_rin,아오쿠모 린,3,Cliché,,False
9514085,악마용? 제가용?,2025-09-30,254.8,클로버핏,5070,aokumo_rin,아오쿠모 린,3,Cliché,,False
9353547,와와와와와우 코맹맹린,2025-09-20,105.3,talk,4454,aokumo_rin,아오쿠모 린,3,Cliché,,False
9306508,8시 전방향 미소녀 같이 봐용!,2025-09-17,27.9,talk,2679,aokumo_rin,아오쿠모 린,3,Cliché,,False
9298036,애들 3D 봐용 드디어!,2025-09-17,276.9,전략적 팀 전투 : 우주의 신들,11894,aokumo_rin,아오쿠모 린,3,Cliché,,False
9226956,[광고] 원신 노드크라이 사장님이랑 같이 즐겨요!,2025-09-12,257.7,스타듀 밸리,4539,aokumo_rin,아오쿠모 린,3,Cliché,,False
9145293,"데바데 w. 사장님, 히나선배, 부키, 리코",2025-09-07,175.8,데드 바이 데이라이트,4449,aokumo_rin,아오쿠모 린,3,Cliché,"shirayuki_hina,yuzuha_riko",True
9117878,응애에요,2025-09-06,249.4,데드 바이 데이라이트,2906,aokumo_rin,아오쿠모 린,3,Cliché,,False
9038537,이리 솔로모드가 있다면서요,2025-09-01,249.1,이터널 리턴,4625,aokumo_rin,아오쿠모 린,3,Cliché,,False
8868921,PLAY 8시 최초공개 같이 봐용!!!!,2025-08-21,68.8,talk,8170,aokumo_rin,아오쿠모 린,3,Cliché,,False
8858707,힐링해요,2025-08-21,252.3,스타듀 밸리,3686,aokumo_rin,아오쿠모 린,3,Cliché,,False
8844728,체약체 착하게 살다,2025-08-20,372.2,talk,5909,aokumo_rin,아오쿠모 린,3,Cliché,,False
8808908,내가 체약체임... (린리코 잿푸 많관부) ,2025-08-17,349.9,발로란트,4992,aokumo_rin,아오쿠모 린,3,Cliché,yuzuha_riko,True
8758842,대박 안무서운 롤체,2025-08-15,253.1,전략적 팀 전투 : 우주의 신들,3929,aokumo_rin,아오쿠모 린,3,Cliché,,False
8621571,무서무서무서워서 롤체해요,2025-08-06,186.9,전략적 팀 전투 : 우주의 신들,5992,aokumo_rin,아오쿠모 린,3,Cliché,,False
8606578,와! 롤체 새시즌!,2025-08-06,186.0,전략적 팀 전투 : 우주의 신들,1890,aokumo_rin,아오쿠모 린,3,Cliché,,False
8593063,합삐엔딩을 향해,2025-08-05,319.3,언더테일,4861,aokumo_rin,아오쿠모 린,3,Cliché,,False
8524793,해피엔딩을 위해 다 죽이고 왔어,2025-08-01,236.1,언더테일,5017,aokumo_rin,아오쿠모 린,3,Cliché,,False
8509947,샌즈와 린즈,2025-07-31,442.3,언더테일,6089,aokumo_rin,아오쿠모 린,3,Cliché,,False
8491766,WA! 몰살 루트!,2025-07-30,261.6,언더테일,5725,aokumo_rin,아오쿠모 린,3,Cliché,,False
8474416,간만에 발켓몬 8시!,2025-07-29,293.4,언더테일,4798,aokumo_rin,아오쿠모 린,3,Cliché,,False
8461109,겁.나.어.렵.다.매.요.? ,2025-07-28,351.9,언더테일,5949,aokumo_rin,아오쿠모 린,3,Cliché,,False
8406410,린나나 WORK도 부르고 섬 데이트해요,2025-07-24,242.1,이터널 리턴,2103,aokumo_rin,아오쿠모 린,3,Cliché,hanako_nana,True
8393690,파타퐁,2025-07-24,331.5,파타퐁 1+2 리플레이,4620,aokumo_rin,아오쿠모 린,3,Cliché,,False
8343497,이겨따,2025-07-21,255.8,talk,4211,aokumo_rin,아오쿠모 린,3,Cliché,,False
8288883,우주 가는거 좀 쫄린달까,2025-07-17,236.8,스텔라 블레이드,1585,aokumo_rin,아오쿠모 린,3,Cliché,,False
8273685,배부른 사람 등장,2025-07-17,254.0,스텔라 블레이드,1539,aokumo_rin,아오쿠모 린,3,Cliché,,False
8223477,"피크 w. 사장님, 시로, 리제",2025-07-13,246.7,피크,3781,aokumo_rin,아오쿠모 린,3,Cliché,akane_lize,True
8218978,"피크 w. 사장님, 시로, 리제",2025-07-13,59.8,피크,2924,aokumo_rin,아오쿠모 린,3,Cliché,akane_lize,True
8203292,[광고] 7시 월오탱 아오쿠모 린팀 vs 하나코 나나팀!!!,2025-07-12,89.3,월드 오브 탱크,1621,aokumo_rin,아오쿠모 린,3,Cliché,hanako_nana,True
8173839,스블스블스블,2025-07-10,281.7,스텔라 블레이드,1274,aokumo_rin,아오쿠모 린,3,Cliché,,False
8160238,오늘 어금니 아플수도,2025-07-10,259.6,마인크래프트,2217,aokumo_rin,아오쿠모 린,3,Cliché,,False
8143827,hip하다,2025-07-09,248.5,스텔라 블레이드,2087,aokumo_rin,아오쿠모 린,3,Cliché,,False
8126456,섬을가,2025-07-08,248.9,이터널 리턴,2924,aokumo_rin,아오쿠모 린,3,Cliché,,False
8114290,웅성웅성 쟤 에어컨 또 고장났대~ ,2025-07-07,283.0,딜러스 라이프 2,2692,aokumo_rin,아오쿠모 린,3,Cliché,,False
8090939,짱갈래! 짱갈래! 짱갈래! 짱갈래! 짱갈래! 짱갈래! (별자리가 될 수 있다면 많관부),2025-07-05,74.7,talk,8541,aokumo_rin,아오쿠모 린,3,Cliché,,False
8088982,☁️ 린의 두번째 신의상!! ㅇv< ☁️,2025-07-05,53.0,talk,10823,aokumo_rin,아오쿠모 린,3,Cliché,,False
8043233,감정 잘하시는 분 연락주세요 / 7월5일 8시 신의상 많관부!!,2025-07-03,205.2,딜러스 라이프 2,1994,aokumo_rin,아오쿠모 린,3,Cliché,,False
8028130,"""부자""",2025-07-02,255.6,딜러스 라이프 2,2022,aokumo_rin,아오쿠모 린,3,Cliché,,False
8013205,잠깐 동숲,2025-07-01,297.9,모여봐요 동물의 숲,1806,aokumo_rin,아오쿠모 린,3,Cliché,,False
7960749,[광고] 딩컴 멤버들이랑 마을 더 키우기!,2025-06-27,290.4,딩컴,1803,aokumo_rin,아오쿠모 린,3,Cliché,,False
7947727,pop song worldcup haeyo (2/2),2025-06-27,313.3,음악/노래,31130,aokumo_rin,아오쿠모 린,3,Cliché,,False
7930991,pop song worldcup haeyo (1/2),2025-06-26,284.2,음악/노래,42533,aokumo_rin,아오쿠모 린,3,Cliché,,False
7884356,엄지손가락이 너무 아파요,2025-06-23,212.7,모여봐요 동물의 숲,2780,aokumo_rin,아오쿠모 린,3,Cliché,,False
7867364,너굴씨는 웃고있다,2025-06-22,248.6,모여봐요 동물의 숲,1467,aokumo_rin,아오쿠모 린,3,Cliché,,False
7846790,[광고] 딩컴 멤버들이랑 같이 하기!,2025-06-20,246.2,딩컴,1539,aokumo_rin,아오쿠모 린,3,Cliché,,False
7834682,동숲하자(컴터야잘하자),2025-06-20,266.9,모여봐요 동물의 숲,1412,aokumo_rin,아오쿠모 린,3,Cliché,,False
7813960,일찍왔슈,2025-06-18,114.0,talk,1764,aokumo_rin,아오쿠모 린,3,Cliché,,False
7811646,일찍왔슈,2025-06-18,53.1,talk,1521,aokumo_rin,아오쿠모 린,3,Cliché,,False
7803134,티원전들 데워먹기 (울프님 영상으로 봐용),2025-06-18,292.7,talk,4156,aokumo_rin,아오쿠모 린,3,Cliché,,False
7771207,스텔좀보서버! ,2025-06-16,262.3,프로젝트 좀보이드,1292,aokumo_rin,아오쿠모 린,3,Cliché,,False
7753609,스텔좀보서버! / 만찬가 많관부,2025-06-15,203.5,프로젝트 좀보이드,1489,aokumo_rin,아오쿠모 린,3,Cliché,,False
7739747,스텔 좀보서버 2일차,2025-06-14,353.8,프로젝트 좀보이드,1562,aokumo_rin,아오쿠모 린,3,Cliché,,False
7721375,스텔 좀보서버,2025-06-13,331.9,프로젝트 좀보이드,2759,aokumo_rin,아오쿠모 린,3,Cliché,,False
7706347,"내 이름은 농부, 직업은 쿠모린이죠",2025-06-12,202.7,스타듀 밸리,1613,aokumo_rin,아오쿠모 린,3,Cliché,,False
7658889,난 또 건축을 해...,2025-06-09,186.2,마인크래프트,1908,aokumo_rin,아오쿠모 린,3,Cliché,,False
7641693,건실하이 건축해,2025-06-08,257.9,마인크래프트,1871,aokumo_rin,아오쿠모 린,3,Cliché,,False
7625774,나나가 선물을 줘서 저도 히나선배한테 선물을 줬어요,2025-06-07,246.2,스타듀 밸리,3308,aokumo_rin,아오쿠모 린,3,Cliché,"shirayuki_hina,hanako_nana",True
7608204,아오코맹린,2025-06-06,243.4,마비노기 모바일,1721,aokumo_rin,아오쿠모 린,3,Cliché,,False
7594147,쿠리미 구출까지 4/5 남았다 화이팅,2025-06-05,294.1,마인크래프트,2317,aokumo_rin,아오쿠모 린,3,Cliché,,False
7556938,발켓몬 운동회!,2025-06-02,108.2,발로란트,3046,aokumo_rin,아오쿠모 린,3,Cliché,,False
7555013,발켓몬 운동회!,2025-06-02,164.7,발로란트,2164,aokumo_rin,아오쿠모 린,3,Cliché,,False
7527200,"유니온 마지막 날! (w. 나나, 우말)",2025-06-01,254.1,이터널 리턴,1773,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,hanako_nana",True
